water;Água;Água é uma substância química cujas moléculas são formadas por dois átomos de hidrogênio e um de oxigênio. É abundante no Universo, inclusive na Terra, onde cobre grande parte de sua superfície e é o maior constituinte dos fluidos dos seres vivos.;1H1-2 8O16-1
lithium-oxide;Óxido de Lítio;Óxido de lítio é formado quando o lítio é queimado ao ar e combina-se com o oxigênio, ou pela decomposição térmica do peróxido de lítio ou do hidróxido de lítio;3Li7-2 8O16-1
